id,disease,plants,names,disease_description,treatment_suggestions,symptoms,region,severity,control_measures
481,Anthracnose,Corn,Triticum,A fungal disease,Maintain good hygiene,Leaf curling,Australia,Medium,Avoid overhead irrigation
482,Powdery Mildew,Potato,Solanum,Caused by nematodes,Maintain good hygiene,Black spots on leaves,America,Medium,Avoid overhead irrigation
483,Rust,Potato,Lycopersicon,A fungal disease,Use resistant varieties,Black spots on leaves,Australia,High,Crop rotation
484,Rust,Corn,Lycopersicon,A fungal disease,Use fungicides,Reddish pustules,America,High,Use mulch
485,Leaf Spot,Corn,Zea,A viral infection,Use resistant varieties,Yellowing leaves,Africa,Low,Maintain field hygiene
486,Rust,Soybean,Glycine,A bacterial infection,Apply neem oil,Reddish pustules,Asia,High,Crop rotation
487,Rust,Wheat,Lycopersicon,A bacterial infection,Maintain good hygiene,Reddish pustules,Asia,Low,Maintain field hygiene
488,Anthracnose,Tomato,Lycopersicon,A bacterial infection,Maintain good hygiene,Black spots on leaves,Australia,Low,Use mulch
489,Late Blight,Wheat,Zea,A parasitic infection,Rotate crops,Reddish pustules,Europe,Medium,Use certified seeds
490,Leaf Spot,Tomato,Triticum,A bacterial infection,Use fungicides,White powder on leaves,Europe,Medium,Use certified seeds
491,Rust,Tomato,Glycine,Caused by nematodes,Apply neem oil,Reddish pustules,Asia,High,Crop rotation
492,Late Blight,Soybean,Zea,Caused by nematodes,Use resistant varieties,Reddish pustules,Europe,Medium,Avoid overhead irrigation
493,Late Blight,Wheat,Triticum,A bacterial infection,Use fungicides,Yellowing leaves,America,Medium,Use mulch
494,Rust,Corn,Zea,Caused by nematodes,Use fungicides,Leaf curling,America,Low,Maintain field hygiene
495,Anthracnose,Potato,Zea,A viral infection,Apply neem oil,Reddish pustules,Africa,Low,Maintain field hygiene
496,Powdery Mildew,Soybean,Zea,A parasitic infection,Rotate crops,Reddish pustules,Europe,High,Crop rotation
497,Anthracnose,Soybean,Solanum,A parasitic infection,Apply neem oil,Leaf curling,Asia,Low,Crop rotation
498,Rust,Soybean,Zea,A fungal disease,Apply neem oil,Yellowing leaves,Africa,Medium,Use mulch
499,Leaf Spot,Corn,Triticum,A fungal disease,Rotate crops,Yellowing leaves,Australia,Medium,Use certified seeds
500,Powdery Mildew,Potato,Triticum,A parasitic infection,Use fungicides,White powder on leaves,America,Medium,Crop rotation
501,Powdery Mildew,Tomato,Lycopersicon,A bacterial infection,Use fungicides,Black spots on leaves,Asia,Low,Use mulch
502,Rust,Corn,Solanum,A bacterial infection,Use resistant varieties,Yellowing leaves,Asia,High,Use certified seeds
503,Rust,Wheat,Triticum,A viral infection,Rotate crops,Yellowing leaves,Europe,Medium,Avoid overhead irrigation
504,Leaf Spot,Wheat,Solanum,A parasitic infection,Use fungicides,White powder on leaves,Asia,Medium,Avoid overhead irrigation
505,Anthracnose,Corn,Lycopersicon,Caused by nematodes,Use fungicides,Leaf curling,Australia,Medium,Avoid overhead irrigation
506,Leaf Spot,Soybean,Solanum,Caused by nematodes,Rotate crops,Yellowing leaves,Europe,Low,Maintain field hygiene
507,Rust,Corn,Triticum,A fungal disease,Maintain good hygiene,Yellowing leaves,Europe,Medium,Avoid overhead irrigation
508,Leaf Spot,Potato,Glycine,A parasitic infection,Use fungicides,Reddish pustules,Africa,Medium,Use mulch
509,Rust,Tomato,Solanum,A fungal disease,Rotate crops,Black spots on leaves,Europe,Low,Crop rotation
510,Powdery Mildew,Tomato,Solanum,A viral infection,Maintain good hygiene,Leaf curling,Africa,High,Use certified seeds
511,Leaf Spot,Tomato,Glycine,A fungal disease,Maintain good hygiene,Reddish pustules,Australia,Medium,Use mulch
512,Late Blight,Tomato,Zea,A viral infection,Use fungicides,Black spots on leaves,Asia,Medium,Use certified seeds
513,Powdery Mildew,Soybean,Glycine,A parasitic infection,Use resistant varieties,Leaf curling,Australia,Medium,Crop rotation
514,Late Blight,Wheat,Zea,A viral infection,Apply neem oil,Black spots on leaves,Europe,High,Maintain field hygiene
515,Rust,Wheat,Glycine,A fungal disease,Use resistant varieties,Leaf curling,Asia,Medium,Crop rotation
516,Late Blight,Corn,Solanum,A parasitic infection,Use resistant varieties,Yellowing leaves,Asia,High,Crop rotation
517,Anthracnose,Tomato,Zea,A fungal disease,Use fungicides,Leaf curling,America,High,Crop rotation
518,Rust,Wheat,Zea,Caused by nematodes,Rotate crops,White powder on leaves,Australia,Low,Use certified seeds
519,Late Blight,Potato,Glycine,A bacterial infection,Rotate crops,Reddish pustules,Africa,High,Crop rotation
520,Rust,Corn,Solanum,A viral infection,Maintain good hygiene,White powder on leaves,Australia,Medium,Use mulch
521,Anthracnose,Soybean,Solanum,A viral infection,Use resistant varieties,Black spots on leaves,Australia,Low,Avoid overhead irrigation
522,Late Blight,Wheat,Solanum,A bacterial infection,Apply neem oil,Black spots on leaves,Asia,Low,Avoid overhead irrigation
523,Late Blight,Tomato,Zea,A viral infection,Maintain good hygiene,White powder on leaves,Australia,High,Use mulch
524,Powdery Mildew,Soybean,Zea,A viral infection,Apply neem oil,Leaf curling,Australia,Low,Maintain field hygiene
525,Late Blight,Potato,Zea,Caused by nematodes,Maintain good hygiene,Reddish pustules,Australia,Medium,Avoid overhead irrigation
526,Late Blight,Potato,Solanum,A parasitic infection,Rotate crops,Yellowing leaves,America,Medium,Use certified seeds
527,Rust,Potato,Lycopersicon,A viral infection,Use fungicides,Reddish pustules,Asia,High,Maintain field hygiene
528,Anthracnose,Soybean,Lycopersicon,Caused by nematodes,Apply neem oil,Reddish pustules,Africa,High,Crop rotation
529,Leaf Spot,Wheat,Zea,A viral infection,Use fungicides,Leaf curling,Europe,Medium,Maintain field hygiene
530,Anthracnose,Wheat,Zea,A parasitic infection,Maintain good hygiene,Black spots on leaves,Asia,Low,Crop rotation
531,Anthracnose,Tomato,Solanum,Caused by nematodes,Maintain good hygiene,Leaf curling,America,Medium,Avoid overhead irrigation
532,Late Blight,Soybean,Solanum,A viral infection,Use fungicides,Leaf curling,Africa,High,Crop rotation
533,Leaf Spot,Wheat,Lycopersicon,Caused by nematodes,Rotate crops,Yellowing leaves,Europe,Medium,Maintain field hygiene
534,Leaf Spot,Corn,Lycopersicon,A bacterial infection,Apply neem oil,Black spots on leaves,Asia,High,Crop rotation
535,Anthracnose,Tomato,Glycine,A viral infection,Use fungicides,Black spots on leaves,Europe,Low,Use mulch
536,Rust,Wheat,Solanum,A fungal disease,Maintain good hygiene,Yellowing leaves,America,Medium,Crop rotation
537,Leaf Spot,Corn,Triticum,A parasitic infection,Apply neem oil,Reddish pustules,Australia,High,Use mulch
538,Leaf Spot,Tomato,Glycine,A viral infection,Apply neem oil,Black spots on leaves,Europe,Low,Use certified seeds
539,Anthracnose,Potato,Solanum,A viral infection,Use resistant varieties,White powder on leaves,Asia,Medium,Use mulch
540,Powdery Mildew,Potato,Triticum,A fungal disease,Apply neem oil,White powder on leaves,America,Medium,Maintain field hygiene
541,Leaf Spot,Corn,Triticum,Caused by nematodes,Rotate crops,White powder on leaves,America,Medium,Use certified seeds
542,Anthracnose,Potato,Zea,A parasitic infection,Use fungicides,Reddish pustules,America,Low,Maintain field hygiene
543,Powdery Mildew,Corn,Zea,A fungal disease,Rotate crops,White powder on leaves,Australia,High,Use certified seeds
544,Anthracnose,Tomato,Triticum,A parasitic infection,Use resistant varieties,Yellowing leaves,Australia,High,Use certified seeds
545,Anthracnose,Wheat,Triticum,A viral infection,Rotate crops,Black spots on leaves,Asia,High,Use mulch
546,Rust,Tomato,Glycine,A parasitic infection,Apply neem oil,Yellowing leaves,America,Low,Use certified seeds
547,Late Blight,Corn,Triticum,Caused by nematodes,Apply neem oil,Black spots on leaves,Africa,High,Maintain field hygiene
548,Powdery Mildew,Soybean,Zea,A bacterial infection,Apply neem oil,Yellowing leaves,America,High,Maintain field hygiene
549,Late Blight,Soybean,Zea,A parasitic infection,Use fungicides,Yellowing leaves,Asia,Medium,Use certified seeds
550,Powdery Mildew,Corn,Zea,A bacterial infection,Maintain good hygiene,Leaf curling,America,Medium,Use certified seeds
551,Powdery Mildew,Potato,Lycopersicon,Caused by nematodes,Maintain good hygiene,Reddish pustules,America,Low,Crop rotation
552,Leaf Spot,Corn,Glycine,A fungal disease,Use resistant varieties,Yellowing leaves,Africa,Low,Crop rotation
553,Rust,Wheat,Glycine,A parasitic infection,Rotate crops,Reddish pustules,Asia,Medium,Use certified seeds
554,Rust,Tomato,Glycine,A parasitic infection,Maintain good hygiene,Reddish pustules,America,High,Use certified seeds
555,Anthracnose,Corn,Lycopersicon,A parasitic infection,Use fungicides,Leaf curling,Australia,Low,Avoid overhead irrigation
556,Late Blight,Wheat,Glycine,A parasitic infection,Apply neem oil,Yellowing leaves,Europe,High,Crop rotation
557,Anthracnose,Soybean,Lycopersicon,A bacterial infection,Use resistant varieties,Yellowing leaves,Africa,Medium,Use mulch
558,Rust,Corn,Lycopersicon,Caused by nematodes,Apply neem oil,White powder on leaves,Africa,Low,Maintain field hygiene
559,Anthracnose,Potato,Triticum,A bacterial infection,Use fungicides,Reddish pustules,Asia,High,Use mulch
560,Rust,Corn,Lycopersicon,A viral infection,Apply neem oil,Leaf curling,Australia,High,Crop rotation
561,Rust,Soybean,Solanum,A viral infection,Use fungicides,Reddish pustules,Australia,Medium,Crop rotation
562,Powdery Mildew,Wheat,Solanum,A fungal disease,Rotate crops,Yellowing leaves,Australia,High,Avoid overhead irrigation
563,Anthracnose,Corn,Glycine,A fungal disease,Use fungicides,White powder on leaves,Asia,High,Avoid overhead irrigation
564,Powdery Mildew,Corn,Solanum,A parasitic infection,Rotate crops,Yellowing leaves,Asia,Medium,Use mulch
565,Anthracnose,Potato,Triticum,A viral infection,Rotate crops,Black spots on leaves,Asia,Medium,Avoid overhead irrigation
566,Rust,Corn,Solanum,A bacterial infection,Rotate crops,White powder on leaves,America,High,Avoid overhead irrigation
567,Rust,Tomato,Lycopersicon,Caused by nematodes,Apply neem oil,Leaf curling,America,High,Use certified seeds
568,Leaf Spot,Corn,Solanum,A viral infection,Apply neem oil,Leaf curling,Africa,Medium,Use certified seeds
569,Powdery Mildew,Wheat,Zea,A viral infection,Apply neem oil,Reddish pustules,Africa,Medium,Avoid overhead irrigation
570,Late Blight,Tomato,Triticum,A bacterial infection,Use resistant varieties,Reddish pustules,Europe,Medium,Maintain field hygiene
571,Anthracnose,Potato,Glycine,A viral infection,Use resistant varieties,White powder on leaves,Europe,Medium,Maintain field hygiene
572,Late Blight,Wheat,Zea,A bacterial infection,Maintain good hygiene,Yellowing leaves,Africa,Medium,Use certified seeds
573,Leaf Spot,Potato,Triticum,A bacterial infection,Use resistant varieties,White powder on leaves,Europe,Low,Maintain field hygiene
574,Rust,Corn,Triticum,A bacterial infection,Apply neem oil,Black spots on leaves,America,Low,Maintain field hygiene
575,Powdery Mildew,Corn,Triticum,A bacterial infection,Use resistant varieties,White powder on leaves,Africa,Medium,Use certified seeds
576,Late Blight,Corn,Solanum,A viral infection,Use resistant varieties,White powder on leaves,Asia,High,Maintain field hygiene
577,Powdery Mildew,Soybean,Solanum,A viral infection,Use resistant varieties,Black spots on leaves,Australia,Low,Use mulch
578,Rust,Soybean,Zea,Caused by nematodes,Maintain good hygiene,Yellowing leaves,Asia,High,Use mulch
579,Powdery Mildew,Soybean,Zea,A fungal disease,Rotate crops,Black spots on leaves,Europe,Medium,Crop rotation
580,Powdery Mildew,Tomato,Lycopersicon,Caused by nematodes,Apply neem oil,White powder on leaves,Asia,High,Maintain field hygiene
581,Anthracnose,Soybean,Lycopersicon,A bacterial infection,Apply neem oil,Reddish pustules,Africa,High,Use mulch
582,Late Blight,Corn,Lycopersicon,A parasitic infection,Maintain good hygiene,Leaf curling,Africa,High,Use mulch
583,Leaf Spot,Corn,Triticum,Caused by nematodes,Use fungicides,Yellowing leaves,Europe,High,Use mulch
584,Powdery Mildew,Potato,Glycine,A parasitic infection,Rotate crops,Yellowing leaves,Africa,Low,Avoid overhead irrigation
585,Powdery Mildew,Wheat,Lycopersicon,A parasitic infection,Maintain good hygiene,Black spots on leaves,Asia,Low,Use certified seeds
586,Leaf Spot,Wheat,Zea,A viral infection,Apply neem oil,Reddish pustules,Australia,Medium,Maintain field hygiene
587,Late Blight,Tomato,Glycine,A bacterial infection,Use resistant varieties,White powder on leaves,Europe,High,Use mulch
588,Rust,Wheat,Lycopersicon,A fungal disease,Maintain good hygiene,Reddish pustules,Australia,Medium,Crop rotation
589,Anthracnose,Tomato,Solanum,A fungal disease,Use fungicides,Black spots on leaves,America,Medium,Avoid overhead irrigation
590,Leaf Spot,Potato,Lycopersicon,A fungal disease,Maintain good hygiene,Yellowing leaves,Australia,High,Avoid overhead irrigation
591,Powdery Mildew,Corn,Lycopersicon,A fungal disease,Use fungicides,White powder on leaves,Africa,Medium,Use certified seeds
592,Rust,Corn,Triticum,A fungal disease,Maintain good hygiene,Black spots on leaves,Asia,High,Maintain field hygiene
593,Anthracnose,Tomato,Triticum,A parasitic infection,Use fungicides,Leaf curling,Australia,Medium,Crop rotation
594,Leaf Spot,Soybean,Lycopersicon,A parasitic infection,Maintain good hygiene,Leaf curling,Australia,Low,Maintain field hygiene
595,Powdery Mildew,Potato,Triticum,A parasitic infection,Use fungicides,Leaf curling,Asia,Low,Use mulch
596,Late Blight,Corn,Solanum,A bacterial infection,Use fungicides,Yellowing leaves,Europe,High,Crop rotation
597,Leaf Spot,Corn,Glycine,Caused by nematodes,Maintain good hygiene,Yellowing leaves,Asia,High,Crop rotation
598,Powdery Mildew,Potato,Glycine,A viral infection,Apply neem oil,Reddish pustules,America,High,Maintain field hygiene
599,Rust,Tomato,Triticum,A parasitic infection,Maintain good hygiene,Reddish pustules,Australia,Medium,Maintain field hygiene
600,Leaf Spot,Soybean,Lycopersicon,A bacterial infection,Apply neem oil,Leaf curling,Asia,Medium,Avoid overhead irrigation
601,Anthracnose,Tomato,Solanum,A bacterial infection,Use fungicides,Black spots on leaves,Australia,High,Use mulch
602,Late Blight,Potato,Solanum,A viral infection,Maintain good hygiene,Leaf curling,Europe,Medium,Use mulch
603,Leaf Spot,Wheat,Zea,A fungal disease,Use fungicides,White powder on leaves,Australia,Medium,Use certified seeds
604,Leaf Spot,Tomato,Triticum,A bacterial infection,Apply neem oil,White powder on leaves,Australia,Medium,Maintain field hygiene
605,Late Blight,Wheat,Zea,Caused by nematodes,Maintain good hygiene,Leaf curling,Asia,Low,Use mulch
606,Rust,Potato,Triticum,Caused by nematodes,Maintain good hygiene,Black spots on leaves,Europe,Medium,Use certified seeds
607,Anthracnose,Wheat,Zea,Caused by nematodes,Maintain good hygiene,Reddish pustules,America,Low,Maintain field hygiene
608,Powdery Mildew,Corn,Lycopersicon,A bacterial infection,Rotate crops,Leaf curling,Asia,Medium,Use certified seeds
609,Rust,Wheat,Triticum,A bacterial infection,Apply neem oil,Black spots on leaves,Asia,High,Use mulch
610,Powdery Mildew,Soybean,Glycine,A bacterial infection,Use fungicides,Black spots on leaves,Europe,Low,Avoid overhead irrigation
611,Anthracnose,Soybean,Triticum,A bacterial infection,Use fungicides,White powder on leaves,Africa,High,Crop rotation
612,Rust,Potato,Glycine,Caused by nematodes,Maintain good hygiene,Reddish pustules,Australia,Low,Avoid overhead irrigation
613,Leaf Spot,Soybean,Zea,A viral infection,Use resistant varieties,Black spots on leaves,Asia,Low,Crop rotation
614,Rust,Wheat,Zea,A viral infection,Use resistant varieties,Leaf curling,Europe,Medium,Use certified seeds
615,Powdery Mildew,Corn,Lycopersicon,A bacterial infection,Rotate crops,Black spots on leaves,Asia,High,Maintain field hygiene
616,Leaf Spot,Potato,Glycine,Caused by nematodes,Use fungicides,Leaf curling,Europe,Medium,Maintain field hygiene
617,Late Blight,Tomato,Lycopersicon,A viral infection,Maintain good hygiene,Black spots on leaves,Europe,High,Maintain field hygiene
618,Rust,Corn,Solanum,Caused by nematodes,Rotate crops,White powder on leaves,America,Medium,Avoid overhead irrigation
619,Rust,Tomato,Glycine,A bacterial infection,Maintain good hygiene,Reddish pustules,Europe,Low,Maintain field hygiene
620,Leaf Spot,Potato,Triticum,A bacterial infection,Use fungicides,Black spots on leaves,Europe,Medium,Crop rotation
621,Rust,Tomato,Glycine,A parasitic infection,Use resistant varieties,Black spots on leaves,Africa,Medium,Crop rotation
622,Leaf Spot,Corn,Zea,A bacterial infection,Apply neem oil,White powder on leaves,Australia,High,Crop rotation
623,Late Blight,Soybean,Lycopersicon,Caused by nematodes,Apply neem oil,Black spots on leaves,America,Low,Maintain field hygiene
624,Rust,Potato,Solanum,A bacterial infection,Maintain good hygiene,Yellowing leaves,Australia,High,Use mulch
625,Powdery Mildew,Soybean,Lycopersicon,A fungal disease,Rotate crops,Yellowing leaves,Asia,Low,Crop rotation
626,Rust,Soybean,Solanum,A parasitic infection,Apply neem oil,Leaf curling,America,Low,Crop rotation
627,Leaf Spot,Soybean,Zea,A bacterial infection,Rotate crops,Black spots on leaves,America,Low,Use mulch
628,Leaf Spot,Corn,Lycopersicon,A bacterial infection,Use fungicides,Leaf curling,Europe,Low,Maintain field hygiene
629,Powdery Mildew,Wheat,Triticum,A parasitic infection,Maintain good hygiene,Black spots on leaves,Africa,Medium,Maintain field hygiene
630,Powdery Mildew,Soybean,Triticum,A fungal disease,Rotate crops,White powder on leaves,Europe,High,Avoid overhead irrigation
631,Leaf Spot,Wheat,Lycopersicon,A parasitic infection,Maintain good hygiene,Reddish pustules,Africa,High,Maintain field hygiene
632,Leaf Spot,Potato,Lycopersicon,Caused by nematodes,Apply neem oil,Reddish pustules,America,Medium,Crop rotation
633,Rust,Tomato,Solanum,Caused by nematodes,Use resistant varieties,Leaf curling,America,Medium,Avoid overhead irrigation
634,Leaf Spot,Soybean,Lycopersicon,A fungal disease,Use fungicides,Yellowing leaves,Africa,Low,Use mulch
635,Powdery Mildew,Wheat,Solanum,A bacterial infection,Apply neem oil,Black spots on leaves,Europe,Medium,Use mulch
636,Rust,Potato,Lycopersicon,A parasitic infection,Maintain good hygiene,Reddish pustules,Europe,Medium,Use certified seeds
637,Leaf Spot,Corn,Lycopersicon,A viral infection,Rotate crops,Leaf curling,America,Low,Avoid overhead irrigation
638,Late Blight,Potato,Glycine,A fungal disease,Maintain good hygiene,Black spots on leaves,Europe,High,Use mulch
639,Powdery Mildew,Corn,Solanum,A parasitic infection,Rotate crops,White powder on leaves,America,Low,Use certified seeds
640,Late Blight,Tomato,Zea,A parasitic infection,Maintain good hygiene,Leaf curling,America,Medium,Crop rotation
641,Rust,Tomato,Triticum,A fungal disease,Use fungicides,Yellowing leaves,Asia,Medium,Use mulch
642,Powdery Mildew,Wheat,Solanum,A viral infection,Use resistant varieties,Black spots on leaves,Africa,High,Use certified seeds
643,Rust,Corn,Lycopersicon,Caused by nematodes,Rotate crops,Black spots on leaves,Africa,Low,Use certified seeds
644,Anthracnose,Corn,Triticum,Caused by nematodes,Apply neem oil,Reddish pustules,Asia,High,Avoid overhead irrigation
645,Powdery Mildew,Tomato,Lycopersicon,A bacterial infection,Use resistant varieties,Reddish pustules,Asia,Medium,Maintain field hygiene
646,Rust,Potato,Zea,A bacterial infection,Use fungicides,Leaf curling,Australia,High,Crop rotation
647,Late Blight,Potato,Solanum,Caused by nematodes,Rotate crops,Yellowing leaves,America,High,Maintain field hygiene
648,Rust,Wheat,Solanum,A viral infection,Maintain good hygiene,Reddish pustules,Australia,Low,Use certified seeds
649,Leaf Spot,Tomato,Lycopersicon,A fungal disease,Maintain good hygiene,Black spots on leaves,America,Medium,Use mulch
650,Leaf Spot,Tomato,Lycopersicon,A parasitic infection,Use resistant varieties,Leaf curling,Africa,High,Maintain field hygiene
651,Late Blight,Soybean,Solanum,A bacterial infection,Maintain good hygiene,Leaf curling,Australia,Low,Maintain field hygiene
652,Rust,Wheat,Lycopersicon,Caused by nematodes,Use resistant varieties,Yellowing leaves,America,High,Use mulch
653,Powdery Mildew,Tomato,Solanum,A parasitic infection,Use resistant varieties,Reddish pustules,Africa,Medium,Maintain field hygiene
654,Late Blight,Soybean,Glycine,A fungal disease,Apply neem oil,Reddish pustules,Africa,Medium,Use mulch
655,Rust,Corn,Zea,A fungal disease,Apply neem oil,Yellowing leaves,Asia,Low,Crop rotation
656,Anthracnose,Soybean,Solanum,A bacterial infection,Apply neem oil,Black spots on leaves,Asia,Low,Avoid overhead irrigation
657,Leaf Spot,Tomato,Zea,A bacterial infection,Maintain good hygiene,Leaf curling,Australia,High,Use mulch
658,Late Blight,Potato,Zea,A viral infection,Rotate crops,Yellowing leaves,Europe,Medium,Use mulch
659,Rust,Wheat,Glycine,A fungal disease,Rotate crops,White powder on leaves,Europe,High,Use mulch
660,Anthracnose,Corn,Solanum,Caused by nematodes,Apply neem oil,Yellowing leaves,Africa,Medium,Avoid overhead irrigation
661,Leaf Spot,Potato,Lycopersicon,A fungal disease,Apply neem oil,Leaf curling,America,Low,Use certified seeds
662,Anthracnose,Wheat,Lycopersicon,A fungal disease,Rotate crops,Black spots on leaves,Australia,High,Crop rotation
663,Late Blight,Corn,Solanum,A viral infection,Apply neem oil,White powder on leaves,Australia,High,Use mulch
664,Rust,Corn,Solanum,A fungal disease,Use resistant varieties,White powder on leaves,Australia,Low,Maintain field hygiene
665,Anthracnose,Tomato,Zea,Caused by nematodes,Use fungicides,White powder on leaves,America,High,Crop rotation
666,Anthracnose,Soybean,Zea,A viral infection,Use resistant varieties,Leaf curling,Africa,High,Use mulch
667,Anthracnose,Potato,Triticum,A fungal disease,Rotate crops,Yellowing leaves,America,Medium,Use certified seeds
668,Powdery Mildew,Soybean,Zea,A bacterial infection,Apply neem oil,Reddish pustules,Australia,Medium,Maintain field hygiene
669,Anthracnose,Tomato,Solanum,A parasitic infection,Use fungicides,Leaf curling,America,High,Use mulch
670,Rust,Tomato,Triticum,A fungal disease,Apply neem oil,Leaf curling,Africa,Medium,Avoid overhead irrigation
671,Rust,Potato,Zea,Caused by nematodes,Use resistant varieties,Leaf curling,Europe,High,Maintain field hygiene
672,Rust,Corn,Lycopersicon,Caused by nematodes,Apply neem oil,Reddish pustules,Australia,High,Avoid overhead irrigation
673,Leaf Spot,Wheat,Zea,A bacterial infection,Use resistant varieties,Leaf curling,Europe,High,Crop rotation
674,Anthracnose,Corn,Zea,A fungal disease,Use fungicides,Reddish pustules,Asia,High,Maintain field hygiene
675,Late Blight,Soybean,Zea,A fungal disease,Maintain good hygiene,White powder on leaves,Europe,Medium,Maintain field hygiene
676,Leaf Spot,Potato,Zea,A fungal disease,Maintain good hygiene,Yellowing leaves,Asia,Medium,Avoid overhead irrigation
677,Powdery Mildew,Tomato,Glycine,Caused by nematodes,Use fungicides,Leaf curling,America,Medium,Crop rotation
678,Rust,Corn,Solanum,A viral infection,Apply neem oil,Reddish pustules,Asia,Medium,Crop rotation
679,Powdery Mildew,Potato,Triticum,A viral infection,Maintain good hygiene,White powder on leaves,Europe,Low,Avoid overhead irrigation
680,Leaf Spot,Wheat,Solanum,A bacterial infection,Use resistant varieties,Black spots on leaves,Africa,Medium,Use mulch
681,Powdery Mildew,Tomato,Zea,Caused by nematodes,Maintain good hygiene,Yellowing leaves,Africa,Medium,Use certified seeds
682,Leaf Spot,Corn,Lycopersicon,A parasitic infection,Use resistant varieties,Black spots on leaves,Europe,Medium,Avoid overhead irrigation
683,Powdery Mildew,Tomato,Triticum,A bacterial infection,Use fungicides,Yellowing leaves,Europe,High,Avoid overhead irrigation
684,Rust,Soybean,Solanum,A viral infection,Maintain good hygiene,Leaf curling,Asia,Medium,Use mulch
685,Anthracnose,Wheat,Lycopersicon,A parasitic infection,Use fungicides,Reddish pustules,Europe,Low,Use mulch
686,Rust,Wheat,Zea,A bacterial infection,Rotate crops,Yellowing leaves,Europe,High,Maintain field hygiene
687,Rust,Wheat,Lycopersicon,A bacterial infection,Use fungicides,Leaf curling,Europe,Medium,Maintain field hygiene
688,Rust,Soybean,Solanum,Caused by nematodes,Maintain good hygiene,White powder on leaves,Europe,Medium,Crop rotation
689,Anthracnose,Corn,Triticum,A fungal disease,Use resistant varieties,Leaf curling,Australia,High,Use mulch
690,Rust,Corn,Solanum,A viral infection,Use fungicides,Black spots on leaves,Australia,Low,Crop rotation
691,Leaf Spot,Corn,Lycopersicon,A viral infection,Maintain good hygiene,Yellowing leaves,Africa,Medium,Avoid overhead irrigation
692,Powdery Mildew,Corn,Lycopersicon,A fungal disease,Apply neem oil,Reddish pustules,Asia,Low,Crop rotation
693,Anthracnose,Corn,Solanum,A parasitic infection,Use resistant varieties,Black spots on leaves,Africa,Medium,Avoid overhead irrigation
694,Late Blight,Potato,Solanum,A parasitic infection,Apply neem oil,White powder on leaves,Africa,Low,Avoid overhead irrigation
695,Leaf Spot,Soybean,Solanum,A parasitic infection,Apply neem oil,Leaf curling,Asia,Medium,Use mulch
696,Anthracnose,Wheat,Lycopersicon,A fungal disease,Rotate crops,Yellowing leaves,Asia,Low,Crop rotation
697,Powdery Mildew,Corn,Glycine,Caused by nematodes,Use fungicides,White powder on leaves,Africa,Low,Use mulch
698,Anthracnose,Corn,Solanum,Caused by nematodes,Apply neem oil,Reddish pustules,Europe,Low,Avoid overhead irrigation
699,Leaf Spot,Wheat,Zea,A bacterial infection,Use resistant varieties,Black spots on leaves,Europe,High,Maintain field hygiene
700,Leaf Spot,Wheat,Lycopersicon,A viral infection,Apply neem oil,Yellowing leaves,America,High,Use certified seeds
701,Late Blight,Potato,Glycine,A fungal disease,Rotate crops,White powder on leaves,America,Low,Use certified seeds
702,Rust,Soybean,Triticum,Caused by nematodes,Maintain good hygiene,Reddish pustules,America,Medium,Use mulch
703,Powdery Mildew,Tomato,Glycine,A viral infection,Use resistant varieties,Leaf curling,Africa,Medium,Avoid overhead irrigation
704,Leaf Spot,Potato,Triticum,A parasitic infection,Use resistant varieties,Reddish pustules,Asia,High,Use mulch
705,Leaf Spot,Tomato,Glycine,A fungal disease,Maintain good hygiene,Black spots on leaves,Australia,Medium,Use mulch
706,Powdery Mildew,Potato,Lycopersicon,A viral infection,Rotate crops,White powder on leaves,Asia,Medium,Maintain field hygiene
707,Leaf Spot,Soybean,Zea,Caused by nematodes,Rotate crops,Reddish pustules,Australia,Low,Use mulch
708,Late Blight,Soybean,Lycopersicon,A parasitic infection,Use fungicides,Yellowing leaves,Asia,Medium,Crop rotation
709,Late Blight,Tomato,Glycine,A bacterial infection,Use resistant varieties,Black spots on leaves,Asia,Low,Maintain field hygiene
710,Rust,Corn,Glycine,A bacterial infection,Use fungicides,Yellowing leaves,Australia,Low,Use certified seeds
711,Anthracnose,Corn,Triticum,A bacterial infection,Apply neem oil,Reddish pustules,Europe,Low,Use mulch
712,Powdery Mildew,Corn,Solanum,Caused by nematodes,Use fungicides,Reddish pustules,America,Low,Use mulch
713,Late Blight,Tomato,Lycopersicon,A fungal disease,Use fungicides,Black spots on leaves,Africa,Medium,Use certified seeds
714,Late Blight,Corn,Triticum,A viral infection,Maintain good hygiene,Black spots on leaves,Africa,Low,Maintain field hygiene
715,Late Blight,Wheat,Glycine,Caused by nematodes,Use fungicides,Leaf curling,Europe,Medium,Maintain field hygiene
716,Late Blight,Wheat,Glycine,A viral infection,Apply neem oil,Reddish pustules,Europe,Medium,Avoid overhead irrigation
717,Rust,Soybean,Solanum,Caused by nematodes,Use fungicides,Reddish pustules,Africa,Medium,Crop rotation
718,Leaf Spot,Tomato,Lycopersicon,A parasitic infection,Rotate crops,Yellowing leaves,Australia,Low,Maintain field hygiene
719,Late Blight,Corn,Glycine,Caused by nematodes,Use fungicides,Leaf curling,Africa,High,Use mulch
720,Rust,Wheat,Zea,A bacterial infection,Maintain good hygiene,Yellowing leaves,Asia,Low,Crop rotation
